id,site_annonce,entreprise,publication,poste,experience,contrat,valeur_duree_contrat,type_duree_contrat,teletravail,valeur_salaire,devise_salaire,periode_salaire,competences,profil,description,ville,lien
f99c1056f9a4309b028001eecbfaeec3,apec,pearls discovery,22-07-2024,data analyst f/h,intermediaire,cdi,,mensuel,partiel,35000.0,€,annee,Développement-commercial Gestion-commerciale Mesure-de-la-performance Concis Motivation Quadra Développement-de-la-stratégie Management-de-la-performance Capacité-à-prendre-des-décisions Économie Capacité-à-résoudre-des-problèmes Vente Microsoft-Office Finance Méticuleux Statistiques Capacité-d'analyse Automobile ShellPack Décisions-stratégiques Suivi-clientèle Tableaux-de-bord Reporting Étude-de-marché Dynamisme Facturation Analyse-de-données Mobilité-durable,"maîtrise en administration des affaires, en économie, en statistiques ou dans un domaine connexe.expérience :  de minimum 3 ans d'expérience en analyse commerciale,compte clé support à la gestion ou support aux ventes, de préférence dans l'industrie du marché secondaire de l'automobile.une expérience en analyse de données, en études de marché et en planification stratégique est essentielle.compétences analytiques : solides capacités d'analyse et de résolution de problèmes avec une grande attention aux détails capacité à présenter des informations complexes de manière claire et concise aux parties prenantes à divers niveaux de l’organisation.compétences linguistiques à l'écrit et à l'oral (fr+ang) imperatif de par l'activité internationale.pack office maîtrise exel et autres outils appliquez vos compétences analytiques et votre secteur d'activité connaissances pour prendre des décisions éclairées par les données et contribuer à un succès permanent.au-delà de vos compétences techniques, votre personnalité, votre dynamisme et vos motivations feront la différence.","nous recherchons un analyste de processus de données pour soutenir l'équipe en placesecteur : marché secondaire de l'automobileen tant que data process analyst, vous travaillerez dans un environnement international et serez en contact avec les principaux fabricants mondiaux de pièces automobiles tels que bosch, valeo, denso, zf, brembo, schaeffler, shell, mobil, ngk, philips,...vous jouerez un rôle crucial dans la collecte, l’analyse et l’interprétation des données de marché afin de fournir des informations et des recommandations qui guideront les décisions commerciales stratégiques (c'est-à-dire le segment de marché à développer comme les véhicules électriques, de nouvelles gammes de produits ou de marques à sélectionner, de nouveaux pays/secteurs commerciaux...).votre expertise en études de marché, en analyse de données et en tendances du secteur contribuera à la croissance et le succès de notre organisation. vos responsabilités : - analyse des données : collecter et analyser des ensembles de données complexes liés au marché de l'automobile secondaire, y compris les chiffres de ventes et les tendances du marché - facturation : facturation et suivi des clients nationaux et internationaux - suivi des dossiers clients dans le logiciel « quadra fact » - etude de marché : mener des études de marché approfondies pour identifier les opportunités et tendances émergentes dans l'industrie du marché secondaire de l'automobile - évaluation et prévision des performances des entreprises : assistance au suivi et évaluer les performances de l'entreprise et des fournisseurs - reporting et présentations : préparer des rapports complets, des tableaux de bord et des présentations et les kpi. - collaboration avec les parties prenantes : collaborer étroitement avec les finances et l'équipe de e développement commercial pour recueillir des informations, aligner les stratégies et soutenir la prise de décision ",allemagne,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/174335664W?motsCles=data&salaireMinimum=20&salaireMaximum=200&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&anciennetePublication=101850&page=0&selectedIndex=0
69a5cdafefa62d65abd592744e248d83,apec,fastroad tt,22-07-2024,data analyst f/h,junior,interim,6.0,mensuel,aucun,30000.0,€,annee,Curiosité Capacité-d'analyse Proactivité Français Capacité-de-communication Capacité-à-fédérer Anglais Rigueur Aéronautique Analyse-de-données Sens-du-relationnel Autonomie,"compétences requisesnous recherchons un candidat f/h ayant les compétences et l'expérience suivantes :science des données et développementle sens des affaires (opérations de fabrication) peut être un plus.une expérience en gestion de projetoutils / logiciels (tools) : google suites ((drive, sheets, slides.) skywisesoftkills autonome et initiative, proactif, curieux , structuré et rigoureux, sens du relationnel et de la communication","merci de bien vouloir lire la partie ""conseils aux candidats"" avant de postuler. toutes candidatures ne respectant le process sera automatiquement refusé ! votre mission : nous sommes à la recherche d'un data analyst f/hvos missions (activités principales) :mise en place bdd et analyse de celle-ci ; faire du bi (analyse de données) ; manipulation des données et faire des formulesexpérience de minimum 1 an  en aéronautique idéalement un poste temporaire d'analyste de données est à pourvoir au sein d'une entreprise aéronautique à toulouse. vous rejoindrez l'équipe digital industrial value stream pour accompagner une montée en charge temporaire de ses activités.la digitalisation des opérations (englobant la fabrication, la logistique, la planification de la production, la qualité, l'approvisionnement, à travers plusieurs facilitateurs tels que l'analytique, l'iot, etc.) est essentielle pour la performance d'aujourd'hui et de demain de notre client.tâches et responsabilitésen tant que membre du support quotidien des activités numériques, vos tâches principales seront les suivantes :établir des tableaux de bord basés sur différentes bases de données et définir clairement les attentes de l'entreprise pour chaque cas d'utilisation, en spécifiant les niveaux de service attendus.développer un modèle d'information de données croisées pour soutenir une stratégie d'amélioration future.établir des synergies entre les différents projets en cas de redondance. analyser la stratégie de notre plan de travail sur la base de nos données. développer et/ou mettre à jour le cadre de suivi du projet en s'appuyant sur des données probantes et des rapports qualitatifs, le cas échéant. élaborer un rapport de synthèse sur les principales réalisations du projet - fournir et approuver en temps voulu les éléments livrables présentés.accessibilité du poste :• politique handicap : pas de référent mais accompagnement rh personnalisé• aménagements possibles du processus de recrutement : #processus de recrutement inclusif• spécificités de l’environnement de travail : #site accessible• spécificités de la posture: #aménagement possible du poste de travail #variabilité de la charge• spécificités du rythme: #horaire fixe #travail autonome ",balma,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/174217157W?motsCles=data&salaireMinimum=20&salaireMaximum=200&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&anciennetePublication=101850&page=0&selectedIndex=1
9f33bbfe289f8838f925b2288b2c8a34,apec,leasecom,22-07-2024,data analyst f/h,intermediaire,cdi,,mensuel,partiel,,inconnu,inconnu,Développement-commercial Curiosité Remboursements Qlik Proactivité Outils-d'évaluation Python Analyse-des-besoins Data-Management Management-commercial Gestion-des-risques Informatique-décisionnelle QCDA Responsabilité-sociétale-de-l'entreprise Esprit-d'équipe Extract-Transform-Load Autonomie Qualité Réponse-aux-besoins Technologies-innovantes-et-management-de-l'innovation Capacité-à-résoudre-des-problèmes Anglais Méticuleux Statistiques Informatique Positif Labellisation Automatisme Gouvernance-d'entreprise POO Esprit-d'initiative Tableaux-de-bord Reporting Communication Gestion-d'activité Capacité-de-communication SQL Contrôle-qualité Rigueur Processus-de-recrutement Langages-orientés-objets,"vous avez un diplôme de l'enseignement supérieur en informatique avec une expérience réussie d'au moins minimum 5 ans  dans les métiers de la data.

compétences techniques :
- maîtrise d’outil de data visualisation (qlik, power bi)
- maîtrise du sql
- maîtrise d'un langage de programmation orienté objet (idéalement python)
- la connaissance d'un etl (talend)

a l'aise en anglais (communication avec les filiales à l'étranger)
compétences comportementales :- esprit d'équipe et d'initiative
- compréhension des enjeux opérationnels et orientation vers les résultats.
- rigueur, curiosité et souci du détail
- capacité à communiquer avec des personnes techniques et non techniques.
- apprentissage rapide et autonomie.
- solides compétences de résolution de problèmes conditions :- type de contrat : cdi- tickets restaurants, mutuelle famille, rtt- remboursement titre de transport à 50%- localisation : parisvous hésitez encore ?leasecom c’est aussi : un collectif rse et une labellisation « positive company » une démarche de labellisation classements happyindex®atworkchoosemycompany  un cadre de travail agréable et des activités riches et stimulantesun parcours d'intégration ou nous serons aux petits soins pour vousdes parcours de formation pour que vous soyez toujours opérationnelsdes perspectives d'évolutionde supers évènements toute l'annéeune ouverture de tous nos postes aux salariés reconnus travailleurs handicapéset enfin un process de recrutement ultra rapide!","la direction des opérations envisage de créer une équipe analytics qui jouera un rôle central dans la qualité de la donnée, sa cohérence et son homogénéité, dans l’accompagnement au développement commercial, dans l’automatisation de process au travers d’un pilotage rigoureux de la donnée, et enfin dans la gestion des risques (opérationnels et financiers) de l’entreprise.l’équipe analytics aura notamment pour mission de :-          centraliser et répondre aux besoins en données de l’entreprise à des fins de reporting, pilotage des activités (business intelligence / customer intelligence),-          innover en utilisant les données de leasecom de manière statistique afin d’automatiser et d’optimiser les process,-          reprendre la gestion du paramétrage de nos grilles de score et travailler à l’évolution de la vision du risque au sein de la société,-          garantir la qualité, fiabilité des données émanant du data mart créé par l’équipe. l’ensemble des données de ce data mart sont reprises dans le data catalogue créé et maintenu par cette équipe,-          garantir la gouvernance de la donnée dans l’entreprise.la raison d’être de cette équipe est de garantir la qualité des données et la pertinence des modèles de score utilisés dans l’entreprise, et d’innover en intégrant des nouvelles techniques de modélisationsl’objectif à terme est de piloter par la data l’ensemble de l’entreprise.au sein de cette équipe le data analyst a comme missions principales :     qualité de données-définir et mettre en œuvre des méthodes et outils standards d’évaluation de la qualité et de mise en qualité des données.- collaborer à la mise en place d’une gouvernance autour de la data- concevoir, développer et maintenir des dispositifs de qualités de données permettant de favoriser les contrôles de qualités en amont    business intelligence :- collaborer avec les parties prenantes pour identifier et comprendre les besoins de l’entreprise et les traduire en besoins analytics.- concevoir, développer et maintenir des modèles de données, des tableaux de bord et des rapports afin de fournir des informations exploitables et personnalisées aux métiers afin d’être dans l’anticipationanalytics :- concevoir, développer et maintenir d",paris,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/174387895W?motsCles=data&salaireMinimum=20&salaireMaximum=200&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&anciennetePublication=101850&page=0&selectedIndex=2
c8be408ed606df246455462e51107056,apec,kapco,22-07-2024,data analyst f/h,intermediaire,cdi,,mensuel,inconnu,,inconnu,inconnu,Curiosité Microsoft-Dynamics-CRM Analyse-des-besoins Management-commercial Logistique Informatique-décisionnelle Capacité-d'adaptation Ressources-humaines Microsoft-SQL-Server Approvisionnement Vente Amélioration-continue Sens-du-relationnel Suivi-des-indicateurs Tableaux-de-bord Système-d'information Microsoft-Power-BI SQL Rigueur Force-de-proposition Objets-connectés,"nous recherchons une personne :issue d'une formation supérieure bac +4/5 (ingénieur, master ou équivalent)maitrisant les outils d'analyse power bi ou équivalentdisposant d'une expérience minimum de 3 ans sur des fonctions similairesfaisant preuve d'un excellent niveau relationnel, de rigueur, de curiosité et d'adaptabilité pourquoi les rejoindre :entreprise présente sur la scène internationaleformations et accompagnementpossibilités d'évolution en internele poste est à pourvoir dès que possible, en cdi, au sud de la belgique à proximité de tourcoing","enosi rh vous propose de les rejoindre en tant que data analyst f/h. en collaboration avec le dsi, vous jouerez un rôle clé au sein de l'entreprise, dans un contexte d'amélioration continue de leur système d'information.pour cela, votre rôle sera de :recueillir les besoins des utilisateurs et collaborer avec eux pour fournir des analyses pertinentes et utilesélaborer des tableaux de bord pour suivre les indicateurs clésexaminer les données de vente pour identifier les tendances afin d'ajuster la stratégie commerciale analyser les données logistiques pour contribuer à l'optimisation permanente des chaînes d'approvisionnementreprendre les requêtes sql et les intégrer dans power bi afin de créer des tableaux de bord pertinentsrecueillir et analyser les données d'exploitations récoltées depuis les machines dans les différents processus de fabricationsetre en capacité de bien comprendre les enjeux métiers des différents pôles afin d'être force de proposition dans l'exploitation des données collectéesdes missions it annexes pourront vous être confiées en fonction de l'actualité projet environnement technique :sql servermicrosoft power bimicrosoft dynamics crmit, ot, iot ",inconnu,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/174125648W?motsCles=data&salaireMinimum=20&salaireMaximum=200&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&anciennetePublication=101850&page=0&selectedIndex=3
9f33bbfe289f8838f925b2288b2c8a34,apec,leasecom,22-07-2024,data analyst f/h,junior,cdi,,mensuel,partiel,,inconnu,inconnu,Développement-commercial Curiosité Remboursements Qlik Python Analyse-des-besoins Mesure-de-la-performance Marketing Informatique-décisionnelle Responsabilité-sociétale-de-l'entreprise Esprit-d'équipe Extract-Transform-Load Autonomie Management-de-la-performance Traitement-des-données Capacité-à-résoudre-des-problèmes Méticuleux Statistiques Positif Data-Visualisation Labellisation Automatisme POO Esprit-d'initiative Suivi-des-indicateurs Base-de-données Tableaux-de-bord Reporting Capacité-de-communication Suivi-de-projets-et-de-dossiers SQL Rigueur Analyse-de-données Processus-de-recrutement Langages-orientés-objets Commerce Talend,"vous avez un diplôme de l'enseignement supérieur en en traitement de données  avec une expérience réussie d'au moins 2 ans sur des sujets de datavisualisation. une expérience dans le secteur du commerce ou du marketing est un atout. 
 
compétences techniques 
- maîtrise d’outil de data visualisation (qlik, power bi) 
- maîtrise du sql 
- maîtrise d'un langage de programmation orienté objet (idéalement python) 
- la connaissance d'un etl (talend) 
 
 compétences comportementales- esprit d'équipe et d'initiative 
- compréhension des enjeux opérationnels et orientation vers les résultats. 
- rigueur, curiosité et souci du détail 
- capacité à communiquer avec des personnes techniques et non techniques. 
- apprentissage rapide et autonomie. 
- solides compétences de résolution de problèmes  conditions- type de contrat : cdi- tickets restaurants, mutuelle famille, rtt- remboursement titre de transport à 50%- localisation : parisvous hésitez encore ?leasecom c’est aussi : un collectif rse et une labellisation « positive company » une démarche de labellisation classements happyindex®atworkchoosemycompany  un cadre de travail agréable et des activités riches et stimulantesun parcours d'intégration ou nous serons aux petits soins pour vousdes parcours de formation pour que vous soyez toujours opérationnelsdes perspectives d'évolutionde supers évènements toute l'annéeune ouverture de tous nos postes aux salariés reconnus travailleurs handicapéset enfin un process de recrutement ultra rapide!","au sein d'une nouvelle équipe analytics, vous jouerez un rôle central , en soutenant le développement commercial et en automatisant les processus grâce à un pilotage rigoureux de la donnée.  vos principales missions seront : visualisation de donnéesconcevoir et développer des tableaux de bord interactifs et des rapports personnalisés pour les équipes commerciales et marketing. utiliser des outils de data visualisation comme power bi ou qlik pour présenter des données complexes de manière claire et compréhensible.  analyse de donnéesanalyser les performances commerciales des différentes agences et proposer des recommandations pour améliorer les résultats. extraire, manipuler et interpréter les données pour identifier les tendances et opportunités de croissance. produire des statistiques et des reportings mensuels pour suivre les indicateurs de performance clés (kpi).  suivi et délivrance d’indicateurscollaborer avec les parties prenantes pour identifier et comprendre les besoins de l’entreprise et les traduire en besoins analytics. assurer le suivi des performances des agences et proposer des actions correctives basées sur les données analysées. ",paris,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/174387833W?motsCles=data&salaireMinimum=20&salaireMaximum=200&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&anciennetePublication=101850&page=0&selectedIndex=4
3bcdd93762258b4bb4c02db9ca7de54b,apec,leasecom,22-07-2024,data analyst en alternance f/h,junior,597139,1.0,mensuel,inconnu,,inconnu,inconnu,Développement-commercial Remboursements Outils-d'évaluation Analyse-des-besoins Data-Management Management-commercial Gestion-des-risques Mathématiques Informatique-décisionnelle QCDA Responsabilité-sociétale-de-l'entreprise Esprit-d'équipe Scoring Autonomie Qualité Réponse-aux-besoins Capacité-de-synthèse Microsoft-Excel Technologies-innovantes-et-management-de-l'innovation Rédaction Statistiques Positif Capacité-d'analyse Labellisation Automatisme Gouvernance-d'entreprise Processus-de-recrutement Bureautique Sens-du-relationnel Contrat-d'alternance Reporting Gestion-d'activité Contrôle-qualité Microsoft-Word Rigueur Analyse-de-données Microsoft-PowerPoint,"profil :vous êtes étudiant (e) de bac+4/5 en école d'ingénieurs (type ensai, ensae, centrale..) avec une spécialisation en data analytics, data science ou mathématiques. vous maîtrisez des outils bureautiques tels que word, excel, et powerpoint.  vous avez des qualités de rédaction et d'expression orale. vous êtes reconnu pour votre rigueur, votre autonomie, votre aisance relationnelle votre capacité à travailler en équipe, ainsi que pour vos qualités d'analyse et de synthèse. conditions :·       type de contrat : contrat d'apprentissage de minimum 12 mois·       tickets restaurants, 37h hebdo, 10 à 12j de rtt / an, remboursement à 50% du titre de transport.·       localisation : paris 15eme vous hésitez encore ?leasecom c’est aussi :un collectif rse et une labellisation « positive company » une démarche de labellisation classements happyindex®atworkchoosemycompany  un cadre de travail agréable et des activités riches et stimulantesun parcours d'intégration ou nous serons aux petits soins pour vousdes parcours de formation pour que vous soyez toujours opérationnelsdes perspectives d'évolutionde supers évènements toute l'annéeune ouverture de tous nos postes aux salariés reconnus travailleurs handicapéset enfin, un process de recrutement ultra rapide !","la direction des opérations envisage de créer une équipe analytics qui jouera un rôle central dans la qualité de la donnée, sa cohérence et son homogénéité, dans l’accompagnement au développement commercial, dans l’automatisation de process au travers d’un pilotage rigoureux de la donnée, et enfin dans la gestion des risques (opérationnels et financiers) de l’entreprise.  l’équipe analytics aura notamment pour mission de : centraliser et répondre aux besoins en données de l’entreprise à des fins de reporting, pilotage des activités (business intelligence / customer intelligence),  innover en utilisant les données de leasecom de manière statistique afin d’automatiser et d’optimiser les process, reprendre la gestion du paramétrage de nos grilles de score et travailler à l’évolution de la vision du risque au sein de la société, garantir la qualité, fiabilité des données émanant du data mart créé par l’équipe. l’ensemble des données de ce data mart sont reprises dans le data catalogue créé et maintenu par cette équipe, garantir la gouvernance de la donnée dans l’entreprise. la raison d’être de cette équipe est de garantir la qualité des données et la pertinence des modèles de score utilisés dans l’entreprise, et d’innover en intégrant des nouvelles techniques de modélisations  l’objectif à terme est de piloter par la data l’ensemble de l’entreprise. au sein de cette équipe l'alternant data analyst aura comme missions principales : analytics :- concevoir, développer et maintenir des modèles de scoring afin optimiser la performance des process et l’automatisation, notamment reprise du score d’octroi et amélioration du gini et création d’un score pour les partenaires en définissant des partenaires type. qualité de données - participer à la définition et la mise en œuvre des méthodes et outils standards d’évaluation de la qualité et de mise en qualité des données. - collaborer à la mise en place d’une gouvernance autour de la data - participer à la conception, développement et maintien des dispositifs de qualités de données permettant de favoriser les contrôles de qualités en amont business intelligence- collaborer avec les parties prenantes pour identifier et comprendre les besoins de l’entreprise et les traduire en besoins analytics. - concevoir, développer et maintenir des modèles de données,",paris,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/174387426W?motsCles=data&salaireMinimum=20&salaireMaximum=200&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&anciennetePublication=101850&page=0&selectedIndex=5
03a6ff4f34fdd6f9ef0ec8f703e31963,apec,hcub3,22-07-2024,ingénieur data f/h,intermediaire,cdi,,mensuel,partiel,45000.0,€,annee,Spark Calcul-distribué Amazon-Web-Services Qualité Tube-Unix Databricks Python EMR Architecture-des-systèmes Traitement-des-données Airflow Pair-Programming Entrepôt-de-données,"nous recherchons un ingénieur data/ops confirmé avec au moins 5 ans d’expérience pour rejoindre notre équipe data ops et ingénieurs. vous serez responsable de la compréhension des architectures data et des systèmes distribués, de la conception et modélisation de pipelines de données, ainsi que du développement et de l'exploitation des traitements de données. vous maîtriserez les techniques et technologies utilisées, assurerez la qualité technique du périmètre confié et contribuerez à la ci/cd avec le techlead et les ops. vous accompagnerez également les juniors dans leur montée en compétence. l'environnement technique inclut python, aws (lambda, s3, datawarehouse, redshift) et d'autres outils data aws. des compétences en databricks, mlops, emr, spark et airflow seraient appréciées.","compréhension des conceptions d'architecture data et des systèmes distribués.➢conception et modélisation des pipelines de données en assurant un stockage et une interrogation efficace.➢développement des traitements de données et de leur exploitation.➢maîtrise l'ensemble des techniques, technologies et concepts utilisés.➢responsable de la qualité technique sur le périmètre confié.➢contribuer à la ci/cd avec techlead et ops.➢accompagnement des juniors dans leur montée en compétence (pair programming, présentation sur des sujets techs, management...).",paris,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/174386626W?motsCles=data&salaireMinimum=20&salaireMaximum=200&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&anciennetePublication=101850&page=0&selectedIndex=6
7717a8576733c962cef28a8b857c5dba,apec,"assistance, conseil, strategie en systeme d'information)",22-07-2024,data analyst qlik sense - tours f/h,junior,cdi,,mensuel,partiel,36000.0,€,annee,Accompagnement-du-client Qlik Pédagogie Analyse-des-besoins Esprit-d'équipe Capacité-d’écoute Autonomie Agilité Anglais Gestion-de-projet Rédaction Data-Visualisation Avant-vente Nprinting Sens-du-relationnel Expression-des-besoins Conduite-de-réunions Analyse-de-données Rédaction-de-spécifications-techniques-et-fonctionnelles Commerce,"pour se lancer dans la partie, ta passion pour l’analyse de données et ton expérience significative (2 ans minimum) sur la mise en œuvre de projets de data visualisation te permettront de nous convaincre de tes compétences et de nous parler de tes beaux projets data avec des étoiles dans les yeux !bien sûr ce qu'on aimera avant tout chez toi c'est ton côté pédagogue et ton envie de partager tes connaissances sur qlikview, qliksense, nprinting.alors si tu sais nous proposer une suite avec les cartes : autonomie / service / esprit d’équipe / agilité et un joker, alors tu as toutes les chances d’avoir ta place au sein de l’équipe ! côté technique ? regarde un peu si ça peut matcher entre nous ! plus tu coches de cases, plus tu as de chances de gagner.service client (bah oui on est quand même une entreprise de services )maitrise de la solution qlik (et idéalement d'une autre solution data)qualités relationnellesattirance pour la tech et être un vrai profil technico-fonctionnelune certification qlik serait un vrai plus !agilitéanglais lv1  ","dans le cadre du développement de notre pôle d’activité data et de notre partenariat elite depuis plus de 14 ans avec l’éditeur qlik, nous recrutons un(e) data analyst qlik sense h/f pour notre client situé à tours. tu veux faire ça dès demain ? intégrer une équipe au taquet sur les solutions qlik et transmettre ta passion pour la data à tes clients. cette petite flamme que tu as, tu nous l’apporteras ! a nous, ta future boîte (on espère), à ta team, à la communauté que tu rejoindras, et surtout à ton client ! tu n’as pas idée à quel point tu peux nous apprendre des choses tes missions seront d’accompagner nos clients de la définition de leurs besoins à l’implémentation de la solution qlik. et sinon, ce qui pourrait faire partie de ton quotidien, c’est surtout : participer à des missions de conseils : cadrage, aide aux choix d’outils…dialoguer avec les utilisateurs pour bien comprendre leurs besoinsapporter un regard avisé et des conseils réaliser la conception fonctionnelle et technique : recueil et analyse des besoins métiers, rédaction des spécifications fonctionnelles et techniques, animation d’ateliers, modélisation, préconisations…développer, tester, optimiser (performances, design, etc...)accompagner et participer à des avant-ventesmettre en place des normes et des bonnes pratiquestransmettre tes compétences à travers des ateliers et formations là on parle de demain, mais si on voit plus loin ensemble ? on aura des possibilités d’évolution en data (management • analytics • intelligence) ou encore en gestion de projet, expertise technique, management, commerce…, ce qui est sûr c’est qu’on sera à ton écoute !",villeneuve,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/174386429W?motsCles=data&salaireMinimum=20&salaireMaximum=200&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&anciennetePublication=101850&page=0&selectedIndex=7
66dae4fad0fcea5262ee1e7e5a806edd,apec,cleeven se,23-07-2024,data scientist f/h,junior,cdi,,mensuel,inconnu,25000.0,€,annee,Statistiques SAS Réponse-aux-besoins Optimisation-de-la-performance Analyse-en-composantes-principales Big-Data Python Synthèse-des-résultats Capacité-de-synthèse Technologies-innovantes-et-management-de-l'innovation Dynamisme Enquêtes Anglais Analyse-de-données Algorithme Analyse-multivariée Apprentissage-automatique SPSS,profilvous êtes diplômé(e) d'une école d'ingénieur ou universitairela pratique quotidienne de l’anglais ne vous fait pas peur. alors venez vivre l’expérience au sein d’une société dynamique et innovante !,"poste et missionau sein de nos équipes de data science, nous recherchons notre futur data scientist pour nous accompagner dans différents projets mettant en oeuvre les techniques fondamentales de statistiques prédictives (machine learning).vous aurez de nombreuses missions telles que :analyse et synthèses des attentes fonctionnelles et techniquesanalyse du patrimoine de donnéesdéfinition d'une modélisation statistique qui permette de répondre aux attentessourcer et rassembler l'ensemble des sources de données structurées ou non structurées nécessaires à l'analyseetude et comparaison des méthodes statistiques (acp, régression logistique, random forest )mise en oeuvre et exploitation des méthodes et modèles (r, sas, python, spss )recherche d'optimisation des performances des algorithmesanalyse et synthèse des informations et des résultatsveille technologique autour du big data, machine learning et de la statistique décisionnelleparticiper à la qualification de la solution",biot,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/174275493W?motsCles=data&salaireMinimum=20&salaireMaximum=200&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&anciennetePublication=101850&page=0&selectedIndex=8
eb603dd3331636c8ec2c8d3b76415143,apec,xpeho,22-07-2024,data engineer f/h,intermediaire,cdi,,mensuel,partiel,34000.0,€,annee,Gestion-de-base-de-données Python Extract-Transform-Load Gestion-des-flux Apache-Kafka Google-Cloud-Plateform Stambia Cloud Microsoft-Windows-Azure Spark OpenDocument Passionne Enquêtes Cycle-de-vie Amazon-Web-Services POC Tableaux-de-bord Publication SQL Analyse-de-données MVP Talend,passionné(e) par la data ;avez  une  expérience  professionnelle  de  la  gestion  de  flux  de  données  etmaîtrisez des outils de la chaîne correspondante maîtrisez un langage généraliste d’analyse des données pratiquez un outil de dashboarding ,"missions :analyser  certains  de  ces  flux  dans  un  but  d étude,  de  poc,  de  prototype  ou  demvp, au regard des objectifs business et techniques de l entreprise ;etre garant de l'accès qualitatif aux données ;développer des tableaux de bord ;réaliser la publication des données dans le cloud ;intégrer  les  flux  de  données  venant  de  sources  externes  ou  de  dispositifs techniques définir la politique de la donnée et de son cycle de vie.environnement technique : maitriser un etl (talend, stambia, odi, etc.)première expérience cloud (gcp, aws, azure)sqlpythonkafkaspark",villeneuve,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/174325978W?motsCles=data&salaireMinimum=20&salaireMaximum=200&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&anciennetePublication=101850&page=0&selectedIndex=9
